Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,crystal,1,24,1,-7.7,4.823,1
Vina,A,crystal,2,24,1,-7.4,5.472,1
Vina,A,crystal,3,24,1,-7.3,5.856,1
Vina,A,crystal,4,24,1,-7.3,4.770,1
Vina,A,crystal,5,24,1,-7.3,4.425,1
Vina,A,crystal,6,24,1,-7.3,6.784,1
Vina,A,crystal,7,24,1,-7.2,4.488,1
Vina,A,crystal,8,24,1,-7.2,5.458,1
Vina,A,crystal,9,24,1,-7.2,4.790,1
Vina,A,crystal,10,24,1,-7.0,5.086,1
Vina,A,crystal,11,24,1,-7.0,4.617,1
Vina,A,crystal,12,24,1,-7.0,4.557,1
Vina,A,crystal,13,24,1,-7.0,5.360,1
Vina,A,crystal,14,24,1,-7.0,4.835,1
Vina,A,crystal,15,24,1,-7.0,4.838,1
Vina,A,crystal,16,24,1,-7.0,5.117,1
Vina,A,crystal,17,24,1,-6.9,5.504,1
Vina,A,crystal,18,24,1,-6.9,5.501,1
Vina,A,crystal,19,24,1,-6.8,4.658,1
Vina,A,crystal,20,24,1,-6.8,3.925,1
Vina,A,crystal,1,24,1,-7.1,6.107,2
Vina,A,crystal,2,24,1,-6.8,4.129,2
Vina,A,crystal,3,24,1,-6.8,4.627,2
Vina,A,crystal,4,24,1,-6.7,5.505,2
Vina,A,crystal,5,24,1,-6.7,4.561,2
Vina,A,crystal,6,24,1,-6.7,5.248,2
Vina,A,crystal,7,24,1,-6.6,4.540,2
Vina,A,crystal,8,24,1,-6.5,3.821,2
Vina,A,crystal,9,24,1,-6.5,5.500,2
Vina,A,crystal,10,24,1,-6.4,4.846,2
Vina,A,crystal,11,24,1,-6.4,6.016,2
Vina,A,crystal,12,24,1,-6.3,6.200,2
Vina,A,crystal,13,24,1,-6.3,5.744,2
Vina,A,crystal,14,24,1,-6.3,4.623,2
Vina,A,crystal,15,24,1,-6.3,5.614,2
Vina,A,crystal,16,24,1,-6.2,4.556,2
Vina,A,crystal,17,24,1,-6.2,5.086,2
Vina,A,crystal,18,24,1,-6.2,5.311,2
Vina,A,crystal,19,24,1,-6.1,5.345,2
Vina,A,crystal,20,24,1,-6.1,5.448,2
Vina,A,crystal,1,24,1,-7.9,3.807,3
Vina,A,crystal,2,24,1,-7.6,5.108,3
Vina,A,crystal,3,24,1,-7.5,4.554,3
Vina,A,crystal,4,24,1,-7.5,5.926,3
Vina,A,crystal,5,24,1,-7.2,4.436,3
Vina,A,crystal,6,24,1,-7.2,5.310,3
Vina,A,crystal,7,24,1,-7.1,4.665,3
Vina,A,crystal,8,24,1,-7.0,5.724,3
Vina,A,crystal,9,24,1,-7.0,5.713,3
Vina,A,crystal,10,24,1,-7.0,1.819,3
Vina,A,crystal,11,24,1,-7.0,4.921,3
Vina,A,crystal,12,24,1,-7.0,4.650,3
Vina,A,crystal,13,24,1,-7.0,5.130,3
Vina,A,crystal,14,24,1,-6.9,5.673,3
Vina,A,crystal,15,24,1,-6.9,5.329,3
Vina,A,crystal,1,24,3,-6.8,6.568,1
Vina,A,crystal,2,24,3,-6.7,5.228,1
Vina,A,crystal,3,24,3,-6.5,4.777,1
Vina,A,crystal,4,24,3,-6.4,7.007,1
Vina,A,crystal,5,24,3,-6.4,6.082,1
Vina,A,crystal,6,24,3,-6.3,4.736,1
Vina,A,crystal,7,24,3,-6.2,5.758,1
Vina,A,crystal,8,24,3,-6.2,1.984,1
Vina,A,crystal,9,24,3,-6.2,4.645,1
Vina,A,crystal,10,24,3,-6.1,4.689,1
Vina,A,crystal,11,24,3,-6.1,4.624,1
Vina,A,crystal,12,24,3,-6.0,4.751,1
Vina,A,crystal,13,24,3,-6.0,5.853,1
Vina,A,crystal,14,24,3,-6.0,3.695,1
Vina,A,crystal,15,24,3,-6.0,4.401,1
Vina,A,crystal,16,24,3,-5.9,4.458,1
Vina,A,crystal,17,24,3,-5.9,5.016,1
Vina,A,crystal,18,24,3,-5.9,4.588,1
Vina,A,crystal,19,24,3,-5.8,5.249,1
Vina,A,crystal,20,24,3,-5.8,5.821,1
Vina,A,crystal,1,24,3,-6.8,5.243,2
Vina,A,crystal,2,24,3,-6.6,5.812,2
Vina,A,crystal,3,24,3,-6.5,5.639,2
Vina,A,crystal,4,24,3,-6.4,4.414,2
Vina,A,crystal,5,24,3,-6.4,6.342,2
Vina,A,crystal,6,24,3,-6.3,4.293,2
Vina,A,crystal,7,24,3,-6.2,4.718,2
Vina,A,crystal,8,24,3,-6.2,5.004,2
Vina,A,crystal,9,24,3,-6.0,5.507,2
Vina,A,crystal,10,24,3,-6.0,3.584,2
Vina,A,crystal,11,24,3,-6.0,5.937,2
Vina,A,crystal,12,24,3,-6.0,4.114,2
Vina,A,crystal,13,24,3,-6.0,4.414,2
Vina,A,crystal,14,24,3,-6.0,4.848,2
Vina,A,crystal,15,24,3,-5.9,5.174,2
Vina,A,crystal,16,24,3,-5.9,4.845,2
Vina,A,crystal,17,24,3,-5.8,4.633,2
Vina,A,crystal,18,24,3,-5.8,5.841,2
Vina,A,crystal,19,24,3,-5.8,4.546,2
Vina,A,crystal,20,24,3,-5.7,4.083,2
Vina,A,crystal,1,24,3,-6.9,4.910,3
Vina,A,crystal,2,24,3,-6.9,4.645,3
Vina,A,crystal,3,24,3,-6.8,6.298,3
Vina,A,crystal,4,24,3,-6.6,5.481,3
Vina,A,crystal,5,24,3,-6.6,5.824,3
Vina,A,crystal,6,24,3,-6.5,4.187,3
Vina,A,crystal,7,24,3,-6.5,4.783,3
Vina,A,crystal,8,24,3,-6.5,6.448,3
Vina,A,crystal,9,24,3,-6.4,6.112,3
Vina,A,crystal,10,24,3,-6.4,5.448,3
Vina,A,crystal,11,24,3,-6.4,6.122,3
Vina,A,crystal,12,24,3,-6.4,3.962,3
Vina,A,crystal,13,24,3,-6.3,5.741,3
Vina,A,crystal,14,24,3,-6.3,4.826,3
